"owner","package_id","dataset_name","resource_id","resource_name"
"cnsc-ccsn","6ed50cd9-0d8c-471b-a5f6-26088298870e","Radionuclide Release Datasets","1f44948a-0a10-4d1e-87f1-f7fde016fef3","Radionuclide Releases - Uranium Mines and Mills"
"cnsc-ccsn","6ed50cd9-0d8c-471b-a5f6-26088298870e","Radionuclide Release Datasets","f4074d4e-f7b2-4eb0-a02d-1326fedc847e","Data Dictionary (English)"
"cnsc-ccsn","6ed50cd9-0d8c-471b-a5f6-26088298870e","Radionuclide Release Datasets","8cf74322-5cad-441e-a7c6-8e2aa7d14849","Data Dictionary (French)"
"cnsc-ccsn","6ed50cd9-0d8c-471b-a5f6-26088298870e","Radionuclide Release Datasets","e3d1aa8a-4e05-4876-b1d8-25bbf086fb33","Metadata"
"pc","743a0b4a-9e33-4b12-981a-9f9fd3dd1680","Human-wildlife coexistence incidents managed by Parks Canada","278d8173-8c2d-4366-afc2-0b3626e7ec8a","Human-wildlife coexistence data dictionary - Parks Canada"
"pc","76d76bfd-3b16-4c96-b802-db64cf598b8b","Piping Plover - Kouchibouguac","a7bf4dcb-30b1-4f8f-ba7a-9a72e1ba899f","Piping Plover - Kouchibouguac - Data"
"pc","76d76bfd-3b16-4c96-b802-db64cf598b8b","Piping Plover - Kouchibouguac","3de4ff5a-de62-4e3e-8eb4-ea1d845e8a60","Piping Plover - Kouchibouguac - Metadata"
"cfia-acia","7826ac71-593f-4d07-a418-1e048585804b","CFIA Undeclared Sulphites in Dried Tea - 2014-2015","21993453-367e-47d7-9435-e685d3f2b3cb","CFIA Undeclared Sulphites in Dried Tea - 2014-2015"
"cfia-acia","7bbb624b-a0aa-41c9-9473-d76c4249924c","CFIA Undeclared Gluten in Products Containing Gluten-Free Oats - 2016-2017","cb2cea26-1bb6-4efe-b262-96f9ded29070","CFIA Undeclared Gluten in Products Containing Gluten-Free Oats - 2016-2017"
"cfia-acia","7de2fab9-3855-4115-adf5-335d0c02a165","Food Microbiology - Targeted Surveys - Final Report - Bacterial Pathogens and Indicators in Oats - April 1, 2018 to March 31, 2020","e311ff90-5ddc-4491-bebe-cfbee520ce5f","Food Microbiology - Targeted Surveys - Final Report - Bacterial Pathogens and Indicators in Oats - April 1, 2018 to March 31, 2020"
"cfia-acia","8024a154-1e80-4e11-860d-6a6bc67b0eab","CFIA-Undeclared Allergens in Coffee Products - 2017-2018","8d673367-91db-410c-80e4-d8298b11efca","CFIA-Undeclared Allergens in Coffee Products - 2017-2018"
"pc","8b498a37-dde3-4306-ad18-f96a812b1b99","Bog Dynamics - Kouchibouguac","0a96f690-e51b-43de-8b51-fbb692c60843","Bog Dynamics - Kouchibouguac - Water Quantity - Data 1"
"pc","8b498a37-dde3-4306-ad18-f96a812b1b99","Bog Dynamics - Kouchibouguac","8f9a1080-1fba-473c-b46b-3e145ebbb97c","Bog Dynamics - Kouchibouguac - Water Quality - Data 2"
"pc","8b498a37-dde3-4306-ad18-f96a812b1b99","Bog Dynamics - Kouchibouguac","36291136-f940-44d1-99c7-8e4338fc8249","Bog Dynamics - Kouchibouguac - Water Quality - Metadata 2"
"pc","8b498a37-dde3-4306-ad18-f96a812b1b99","Bog Dynamics - Kouchibouguac","981933cd-f3bd-4e00-b1dc-6e1959ed2ed9","Bog Dynamics - Kouchibouguac - Water Quantity - Metadata 1"
"dfo-mpo","8c6581b4-0db9-4329-8018-a6fbcc7ad7f4","British Columbia Spot Prawn (Pandalus platyceros) Spawner Index","57a6dd9b-8f84-4ad2-afcc-511807c427bc","British Columbia Spot Prawn (Pandalus platyceros) Spawner Index"
"ssc-spc","8dc0ad19-a5d3-4d22-8184-898940d61c75","Percentage of Hardware Requests Fulfilled Within Established Service Level Standards","3ffd3d35-a99b-4aa3-aa7f-c1e7374c988f","Percentage of hardware requests fulfilled within established service level standards"
"ssc-spc","8dc0ad19-a5d3-4d22-8184-898940d61c75","Percentage of Hardware Requests Fulfilled Within Established Service Level Standards","9d4be37d-9394-4e6a-9aba-429254150475","Percentage of hardware requests fulfilled within established service level standards"
"cfia-acia","90c40158-bb81-4070-a275-fa03037a2ddb","CFIA-Undeclared Allergens in Multi-Ingredient Meat and Seafood Products with Grain-based Coatings - 2017-2018","ecca691c-3395-4599-b9c3-1d415310b91e","CFIA-Undeclared Allergens in Multi-Ingredient Meat and Seafood Products with Grain-based Coatings - 2017-2018"
"cfia-acia","94850076-10c7-43e1-9ee4-b4f602363e4b","Children's Food Project - 2016 Data","ee83840e-5441-40fe-8d38-37dfe209ef57","Children's Food Project - 2016 Data"
"cfia-acia","993dc3b9-eab2-4879-81f3-b2e3cbacb52d","CFIA Undeclared Allergens and Gluten in Meal Replacements and Nutritional Supplements - 2016-2017","544c6d68-d6d7-40da-8839-6a9b4da16cb7","CFIA Undeclared Allergens and Gluten in Meal Replacements and Nutritional Supplements - 2016-2017"
"pc","9b5fdd42-16c8-497c-9a04-fbf4e35aa6f1","Streams - Benthic Invertebrates - Pukaskwa","9476db0b-f589-4bfb-ab03-ddc853287969","Streams - Benthic Invertebrates - Pukaskwa"
"pc","aefdaf04-48f6-4c81-920a-beef5680f8b0","Common Tern Colony - Kouchibouguac","98b1b159-572f-4c0d-b4c9-597b1be9cc4a","Common Tern Colony - Kouchibouguac - Data"
"pc","aefdaf04-48f6-4c81-920a-beef5680f8b0","Common Tern Colony - Kouchibouguac","67fbbedc-e226-4237-86e7-0da4868525c5","Common Tern Colony - Kouchibouguac - Metadata"
"cfia-acia","b1b5a94e-4af7-470d-a919-4647a5059c5f","CFIA Undeclared Allergens and Gluten in Processed Fish and Seafood - 2015-2016","ddd15d04-85f1-4986-bedd-fa0a3055289c","CFIA Undeclared Allergens and Gluten in Processed Fish and Seafood - 2015-2016"
"dfo-mpo","b9999c58-adf7-4660-89ca-ddc562759b48","Atmospheric Forcing Index (AFI)","ce88db3d-3492-4021-9bd4-a88c1732b649","Atmospheric Forcing Index 1901-2004"
"dfo-mpo","b9999c58-adf7-4660-89ca-ddc562759b48","Atmospheric Forcing Index (AFI)","3818eeb5-9dad-4f32-bb78-64a14d44cf44","Atmospheric Forcing Index 1901-2004"
"cra-arc","bb01e4ec-684b-48c6-a287-0695ef1998fb","Statistics on the one-time emergency payment increase to the Goods and Services Tax/Harmonized Sales Tax Credit (GST/HST Credit)","93be2222-67cf-489f-8775-2c3e4fdaf2bc","Explanatory Notes"
"cra-arc","bb01e4ec-684b-48c6-a287-0695ef1998fb","Statistics on the one-time emergency payment increase to the Goods and Services Tax/Harmonized Sales Tax Credit (GST/HST Credit)","9cb37745-500e-487c-b72a-556f0b9c97f5","Explanatory Notes"
"cra-arc","bb01e4ec-684b-48c6-a287-0695ef1998fb","Statistics on the one-time emergency payment increase to the Goods and Services Tax/Harmonized Sales Tax Credit (GST/HST Credit)","ff7218b8-132e-412d-bb68-e191b5c9f613","Statistics on the one-time emergency payment increase to the Goods and Services Tax/Harmonized Sales Tax Credit (GST/HST Credit)"
"cra-arc","bb01e4ec-684b-48c6-a287-0695ef1998fb","Statistics on the one-time emergency payment increase to the Goods and Services Tax/Harmonized Sales Tax Credit (GST/HST Credit)","319bc5c8-e83c-46f2-a15b-ace4722d00b3","Statistics on the one-time emergency payment increase to the Goods and Services Tax/Harmonized Sales Tax Credit (GST/HST Credit)"
"cfia-acia","bb1be357-5036-4029-ba25-876e7bddd2b2","CFIA-Undeclared Allergens in Refrigerated Dips and Spreads - 2016-2017","d7aa8309-70ec-40e0-a7cf-9492c505c33b","CFIA-Undeclared Allergens in Refrigerated Dips and Spreads - 2016-2017"
"cfia-acia","bc3ebc37-70f9-4bee-b795-7283f3dd302e","CFIA Undeclared Allergens in Seed, Legume and Peanut-Based Butters - 2015-2016","03762abc-4f3d-43ac-9fe3-3fce79fb17c7","CFIA Undeclared Allergens in Seed, Legume and Peanut-Based Butters - 2015-2016"
"dfo-mpo","c1a54a0c-4eb0-4b50-be1f-01aee632527e","Results of DFO benthic audits of British Columbia marine finfish aquaculture sites","f51236a0-4ccc-4fd1-9fd0-f4a109065732","Results of DFO benthic monitoring audits of BC marine finfish aquaculture sites, 2011 and ongoing"
"dfo-mpo","c1a54a0c-4eb0-4b50-be1f-01aee632527e","Results of DFO benthic audits of British Columbia marine finfish aquaculture sites","220ce25f-534d-46ca-955f-41c8e8046be9","Results of DFO benthic monitoring audits of BC marine finfish aquaculture sites, 2011 and ongoing"
"dfo-mpo","c1a54a0c-4eb0-4b50-be1f-01aee632527e","Results of DFO benthic audits of British Columbia marine finfish aquaculture sites","010b3ad4-21b0-49b5-9269-0946f832818c","Results of DFO benthic monitoring audits of BC marine finfish aquaculture sites, 2011 and ongoing"
"dfo-mpo","c1a54a0c-4eb0-4b50-be1f-01aee632527e","Results of DFO benthic audits of British Columbia marine finfish aquaculture sites","57de280e-2516-4309-bac4-170d73f893a5","Results of DFO benthic monitoring audits of BC marine finfish aquaculture sites, 2011 and ongoing"
"pc","c387c782-fad0-4058-9900-79a6c5f9d7ea","Forest Dynamics - Kouchibouguac","a12f2d0a-0399-4fd1-806b-6119b0c91b56","Forest Dynamics - Kouchibouguac - Stand Data - 1"
"pc","c387c782-fad0-4058-9900-79a6c5f9d7ea","Forest Dynamics - Kouchibouguac","0d5a0f6d-45b6-4a37-8fe2-3076caba1e8d","Forest Dynamics - Kouchibouguac - Stand Metadata - 1"
"pc","c387c782-fad0-4058-9900-79a6c5f9d7ea","Forest Dynamics - Kouchibouguac","bc6c147d-21b0-4642-a0df-80e448f111d2","Forest Dynamics - Kouchibouguac - Stand Data Dictionnary - 1"
