PUBDATE_EN,PUBDATE_FR,TITLE_TEXT_EN,TITLE_URL_EN,TITLE_TEXT_FR,TITLE_URL_FR,TEASER_EN,TEASER_FR,ADDITIONAL_TOPICS_EN,ADDITIONAL_TOPICS_FR,AUDIENCE_EN,AUDIENCE_FR,TYPE_EN,TYPE_FR,DEPT_EN,DEPT_FR,LOCATION_EN,LOCATION_FR,MINISTER_EN,MINISTER_FR,TOPIC_EN,TOPIC_FR,SUBJECT_EN,SUBJECT_FR
2024-07-06 11:00:00,2024-07-06 11:00:00,Canada invests in five projects commemorating No. 2 Construction Battalion in Nova Scotia,https://www.canada.ca/en/veterans-affairs-canada/news/2024/07/canada-invests-in-five-projects-commemorating-no-2-construction-battalion-in-nova-scotia.html,Le Canada investit dans cinq projets visant à commémorer le 2e Bataillon de construction en Nouvelle-Écosse,https://www.canada.ca/fr/anciens-combattants-canada/nouvelles/2024/07/le-canada-investit-dans-cinq-projets-visant-a-commemorer-le-2e-bataillon-de-construction-en-nouvelle-ecosse.html,"Today, at the annual No. 2 Construction Battalion Remembrance Ceremony in Nova Scotia, Minister Fraser, on behalf of Ministers Petitpas Taylor and Blair, announced an investment for five new projects based in Nova Scotia, totaling over $124,000 to support education, remembrance and honouring of No. 2 Construction Battalion and their families.","Aujourd’hui, lors de la cérémonie commémorative annuelle du 2e Bataillon de construction en Nouvelle-Écosse, le ministre Fraser, au nom des ministres Petitpas Taylor et Blair, a annoncé un investissement pour la réalisation de cinq nouveaux projets établis en Nouvelle-Écosse et totalisant plus de 124 000 $, qui visent à appuyer l’éducation et la commémoration, ainsi qu’à rendre hommage aux membres du 2e Bataillon de construction et à leur famille.",,,general public,grand public,news releases,communiqués de presse,Veterans Affairs Canada,Anciens Combattants Canada,"Atlantic, Canada, Halifax, Nova Scotia","Atlantique, Canada, Halifax, Nouvelle-Écosse",Hon. Ginette Petitpas Taylor,L'hon. Ginette Petitpas Taylor,"Culture, history and sport, Events, celebrations and commemorations","Culture, histoire et sport, Événements, célébrations et commémorations","Commemoration, History and Archaeology, Military, Veterans","Ancien combattant, Commémoration, Histoire et archéologie, Histoire et science militaire"
2024-07-06 09:30:08,2024-07-06 09:30:08,Statement by Minister Rodriguez on the eleventh anniversary of the Lac-Mégantic tragedy,https://www.canada.ca/en/transport-canada/news/2024/07/statement-by-minister-rodriguez-on-the-eleventh-anniversary-of-the-lac-megantic-tragedy.html,Déclaration du ministre Rodriguez au sujet du onzième anniversaire de la tragédie de Lac-Mégantic,https://www.canada.ca/fr/transports-canada/nouvelles/2024/07/declaration-du-ministre-rodriguez-au-sujet-du-onzieme-anniversaire-de-la-tragedie-de-lac-megantic.html,"The Minister of Transport and Quebec Lieutenant, Pablo Rodriguez, today made the following statement to mark the eleven years that have passed since the Lac-Mégantic tragedy","Le ministre des Transports et lieutenant du Québec, Pablo Rodriguez, a fait aujourd’hui la déclaration suivante pour souligner les onze années qui se sont écoulées depuis la tragédie de Lac-Mégantic ",,,general public,grand public,statements,déclarations,Transport Canada,Transports Canada,Canada,Canada,Hon. Pablo Rodriguez,L'hon. Pablo Rodriguez,Transport and infrastructure,Transport et infrastructure,Transport,Transport
2024-07-05 17:22:12,2024-07-05 17:22:12,Environment and Climate Change Canada to hold media availability on current hot weather conditions in Western Canada,https://www.canada.ca/en/environment-climate-change/news/2024/07/environment-and-climate-change-canada-to-hold-media-availability-on-current-hot-weather-conditions-in-western-canada.html,Environnement et Changement climatique Canada tiendra un point de presse à propos des conditions actuelles de temps chaud dans l’Ouest du Canada,https://www.canada.ca/fr/environnement-changement-climatique/nouvelles/2024/07/environnement-et-changement-climatique-canada-tiendra-un-point-de-presse-a-propos-des-conditions-actuelles-de-temps-chaud-dans-louest-du-canada.html,Media representatives are advised that Environment and Climate Change Canada will hold a media availability to answer questions on the current severe hot weather conditions forecasted in Western Canada this week ,Les représentants des médias sont priés de noter qu’Environnement et Changement climatique Canada tiendra un point de presse pour répondre aux questions concernant les conditions de chaleur extrême actuellement prévues dans l’Ouest du Canada cette semaine.  ,,,media,médias,media advisories,avis aux médias,Environment and Climate Change Canada,Environnement et Changement climatique Canada,Canada,Canada,Hon. Steven Guilbeault,L'hon. Steven Guilbeault,Environment and natural resources,Environnement et ressources naturelles,Nature and Environment,Nature et environnement
2024-07-05 16:50:29,2024-07-05 16:50:29,Minister Valdez and member of Parliament Kevin Lamoureux to make an important announcement related to dental care,https://www.canada.ca/en/innovation-science-economic-development/news/2024/07/minister-valdez-and-member-of-parliament-kevin-lamoureux-to-make-an-important-announcement-related-to-dental-care.html,La ministre Valdez et le député Kevin Lamoureux feront une annonce importante concernant les soins dentaires,https://www.canada.ca/fr/innovation-sciences-developpement-economique/nouvelles/2024/07/la-ministre-valdez-et-le-depute-kevin-lamoureux-feront-une-annonce-importante-concernant-les-soins-dentaires.html,"The Honourable Rechie Valdez, Minister of Small Business, will make an important announcement about the dental care plan for Canadians. ","La ministre de la Petite Entreprise, l’honorable Rechie Valdez, fera une annonce importante concernant le Régime canadien de soins dentaires.",,,general public,grand public,media advisories,avis aux médias,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Canada,Canada,Hon. Rechie Valdez,L'hon. Rechie Valdez,Business and industry,Entreprises et industrie,Economics and Industry,Économie et industrie
2024-07-05 16:27:09,2024-07-05 16:27:09,Government of Canada confirms support for Haisla Nation’s historic energy project,https://www.canada.ca/en/innovation-science-economic-development/news/2024/07/government-of-canada-confirms-support-for-haisla-nations-historic-energy-project.html,Le gouvernement du Canada confirme l’octroi d’un soutien au projet énergétique sans précédent de la Nation Haisla,https://www.canada.ca/fr/innovation-sciences-developpement-economique/nouvelles/2024/07/le-gouvernement-du-canada-confirme-loctroi-dun-soutien-au-projet-energetique-sans-precedent-de-la-nation-haisla.html,"The Honourable François-Philippe Champagne, Minister of Innovation, Science and Industry, will confirm support for an Indigenous-majority-owned venture that presents an exciting opportunity for Canada’s energy sector.","Le ministre de l’Innovation, des Sciences et de l’Industrie, l’honorable François-Philippe Champagne, confirmera l’octroi d’un soutien à un projet de propriété majoritairement autochtone qui représente une occasion intéressante pour le secteur canadien de l’énergie.",,,general public,grand public,media advisories,avis aux médias,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Canada,Canada,Hon. François-Philippe Champagne,L'hon. François-Philippe Champagne,Business and industry,Entreprises et industrie,Economics and Industry,Économie et industrie
2024-07-05 15:50:26,2024-07-05 15:50:26,Minister of Transport announces the elimination of Marine Atlantic Inc.'s cost-recovery policy,https://www.canada.ca/en/transport-canada/news/2024/07/minister-of-transport-announces-the-elimination-of-marine-atlantic-incs-cost-recovery-policy.html,Le ministre des Transports annonce l’élimination de la politique de recouvrement des coûts de Marine Atlantique S.C.C.,https://www.canada.ca/fr/transports-canada/nouvelles/2024/07/le-ministre-des-transports-annonce-lelimination-de-la-politique-de-recouvrement-des-couts-de-marine-atlantique-scc.html,"Today, the Minister of Transport, Pablo Rodriguez, announced that the government is eliminating the policy that required Marine Atlantic Inc. to recover, through revenue, 65% percent of most of its operating expenses. By eliminating this cost-recovery policy, the government is keeping services affordable for residents, tourists, and businesses. Without the formal cost-recovery policy, Marine Atlantic Inc. is better able to respond to passenger needs, and ensure continued, safe, and reliable ferry services.","Le ministre des Transports, Pablo Rodriguez, a annoncé que le gouvernement élimine la politique qui obligeait Marine Atlantique S.C.C. à récupérer, par le biais des revenus, 65 % de la plupart de ses dépenses d'exploitation. En éliminant cette politique de recouvrement des coûts, le gouvernement maintient des services abordables pour les résidents, les touristes et les entreprises. Sans cette politique formelle de recouvrement des coûts, Marine Atlantique S.C.C. est mieux à même de répondre aux besoins des passagers et de garantir des services de traversier continus, sûrs et fiables.",,,general public,grand public,news releases,communiqués de presse,Transport Canada,Transports Canada,Canada,Canada,"Hon. Gudie Hutchings, Hon. Pablo Rodriguez, Hon. Seamus O’Regan","L'hon. Gudie Hutchings, L'hon. Pablo Rodriguez, L'hon. Seamus O’Regan",Transport and infrastructure,Transport et infrastructure,Transport,Transport
2024-07-05 15:41:22,2024-07-05 15:41:22,Food safety and traceability equipment funding applications now being accepted to support Manitoba agri-food and agri-product producers,https://www.canada.ca/en/agriculture-agri-food/news/2024/07/food-safety-and-traceability-equipment-funding-applications-now-being-accepted-to-support-manitoba-agri-food-and-agri-product-producers.html,Les demandes de financement d’équipement de salubrité des aliments et de traçabilité sont désormais acceptées pour soutenir les producteurs manitobains de produits agroalimentaires et agro-industriels,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2024/07/les-demandes-de-financement-dequipement-de-salubrite-des-aliments-et-de-tracabilite-sont-desormais-acceptees-pour-soutenir-les-producteurs-manitoba.html,"The governments of Canada and Manitoba are providing funding under the Sustainable Canadian Agricultural Partnership (Sustainable CAP) to assist Manitoba agri-food and agri-product producers and processors in adopting and improving food safety and traceability practices, federal Agriculture and Agri-Food Minister Lawrence MacAulay and Manitoba Agriculture Minister Ron Kostyshyn announced today.","Aujourd’hui, le ministre fédéral de l’Agriculture et de l’Agroalimentaire Lawrence MacAulay et le ministre de l’Agriculture du Manitoba Ron Kostyshyn ont annoncé que, dans le cadre du Partenariat canadien pour une agriculture durable, les gouvernements du Canada et du Manitoba offrent un financement afin d’aider les producteurs et les transformateurs manitobains de produits agroalimentaires et agro-industriels à adopter et à améliorer les pratiques de salubrité des aliments et de traçabilité. ",,,"general public, media, rural community","communauté rurale, grand public, médias",news releases,communiqués de presse,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,"Canada, Manitoba, Prairies","Canada, Manitoba, Prairies",Hon. Lawrence MacAulay,L'hon. Lawrence MacAulay,Business and industry,Entreprises et industrie,Agriculture,Agriculture
2024-07-05 15:22:33,2024-07-05 15:22:33,Remarks by the Deputy Prime Minister highlighting investments to support Canada’s athletes,https://www.canada.ca/en/department-finance/news/2024/07/remarks-by-the-deputy-prime-minister-highlighting-investments-to-support-canadas-athletes.html,Allocution de la vice-première ministre sur les investissements pour soutenir les athlètes du Canada,https://www.canada.ca/fr/ministere-finances/nouvelles/2024/07/allocution-de-la-vice-premiere-ministre-sur-les-investissements-pour-soutenir-les-athletes-du-canada.html,"Our government is delivering fairness for every generation. And our plan includes investing in Canada’s athletes—like the amazing athletes here with us today. They represent us, they wear the maple leaf, and we are so proud of them.","Notre gouvernement donne une chance équitable à chaque génération. Notre plan prévoit d’investir dans les athlètes du Canada, comme les athlètes extraordinaires qui sont parmi nous aujourd’hui. Ils nous représentent, ils portent la feuille d’érable, et nous sommes très fiers d’eux.",,,general public,grand public,speeches,discours,Department of Finance Canada,Ministère des Finances Canada,Canada,Canada,Hon. Chrystia Freeland,L'hon. Chrystia Freeland,Money and finances,Argent et finances,"Economics and Industry, Finance, Public finance","Finances, Finances publiques, Économie et industrie"
2024-07-05 14:25:57,2024-07-05 14:25:57,Government of Canada implements a new process to help ensure that all oral health providers can provide care for eligible Canadians under the Canadian Dental Care Plan,https://www.canada.ca/en/health-canada/news/2024/07/government-of-canada-implements-a-new-process-to-help-ensure-that-all-oral-health-providers-can-provide-care-for-eligible-canadians-under-the-canad.html,Le gouvernement du Canada met en place un nouveau processus pour s’assurer que tous les fournisseurs de soins buccodentaires peuvent fournir des soins aux Canadiennes et aux Canadiens admissibles dans le cadre du Régime canadien de soins dentaires,https://www.canada.ca/fr/sante-canada/nouvelles/2024/07/le-gouvernement-du-canada-met-en-place-un-nouveau-processus-pour-sassurer-que-tous-les-fournisseurs-de-soins-buccodentaires-peuvent-fournir-des-soi.html,"The Honourable Mark Holland, Canada’s Minister of Health will make a health care announcement about the implementation of a new process to help ensure that all oral health providers can provide care for eligible Canadians under the Canadian Dental Care Plan.","L’honorable Mark Holland, ministre de la Santé du Canada, fera une annonce concernant la mise en œuvre d’un nouveau processus visant à s’assurer que tous les fournisseurs de soins buccodentaires peuvent fournir des soins aux Canadiennes et aux Canadiens admissibles dans le cadre du Régime canadien de soins dentaires.",,,media,médias,media advisories,avis aux médias,Health Canada,Santé Canada,Canada,Canada,Hon. Mark Holland,L'hon. Mark Holland,"Health, Healthy living, Oral health","Santé, Santé buccodentaire, Vie saine",Health and Safety,Santé et sécurité
2024-07-05 14:19:17,2024-07-05 14:19:17,"Defence Minister Bill Blair to travel to Washington, D.C. for NATO Summit",https://www.canada.ca/en/department-national-defence/news/2024/07/defence-minister-bill-blair-to-travel-to-washington-dc-for-nato-summit.html,"Le ministre de la Défense, Bill Blair, se rendra à Washington en vue du Sommet de l’OTAN",https://www.canada.ca/fr/ministere-defense-nationale/nouvelles/2024/07/le-ministre-de-la-defense-bill-blair-se-rendra-a-washington-en-vue-du-sommet-de-lotan.html,"The Honourable Bill Blair, Minister of National Defence, will visit Washington, D.C., from July 8-11 to attend the North Atlantic Treaty Organization (NATO) Summit and participate in side events.-","Le ministre de la Défense nationale, l’honorable Bill Blair, sera à Washington du 8 au 11 juillet pour assister au Sommet de l’Organisation du Traité de l’Atlantique Nord (OTAN), de même que pour participer à des événements parallèles.",,,general public,grand public,media advisories,avis aux médias,National Defence,Défense nationale,Canada,Canada,,,National security and defence,Sécurité nationale et défense,Military,Histoire et science militaire
2024-07-05 14:03:50,2024-07-05 14:03:50,Government of Canada Seeking Design Services for the Housing Design Catalogue,https://www.canada.ca/en/office-infrastructure/news/2024/07/government-of-canada-seeking-design-services-for-the-housing-design-catalogue.html,Le gouvernement du Canada est à la recherche de services de conception pour le Catalogue de conception de logements,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2024/07/le-gouvernement-du-canada-est-a-la-recherche-de-services-de-conception-pour-le-catalogue-de-conception-de-logements.html,"Today, the Honourable Sean Fraser, Minister of Housing, Infrastructure and Communities, announced the launch of a formal Request for Proposals (RFP) process for the Housing Design Catalogue. The RFP will seek design services for the development of low-rise designs as part of the Housing Design Catalogue initiative. Interested proponents have until August 7, 2024, to submit their proposal. ","Aujourd’hui, l’honorable Sean Fraser, ministre du Logement, des Infrastructures et des Collectivités, a annoncé le lancement d’un processus officiel de demande de propositions (DP) pour le Catalogue de conception de logements. La DP vise à obtenir des services de conception pour l’élaboration d’immeubles de faible hauteur dans le cadre de l’initiative relative au Catalogue de conception de logements. Les promoteurs intéressés ont jusqu’au 7 août 2024 pour soumettre leur proposition. ",,,"general public, government, media","gouvernement, grand public, médias",news releases,communiqués de presse,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités du Canada","Canada, Ontario, Ottawa","Canada, Ontario, Ottawa",,,"Infrastructure, Transport and infrastructure","Infrastructures, Transport et infrastructure",Transport,Transport
2024-07-05 13:37:09,2024-07-05 13:37:09,Minister MacAulay to announce funding to support the competitiveness of Canada’s beef sector,https://www.canada.ca/en/agriculture-agri-food/news/2024/07/minister-macaulay-to-announce-funding-to-support-the-competitiveness-of-canadas-beef-sector.html,Le ministre MacAulay annoncera une aide financière pour soutenir la compétitivité de l’industrie canadienne du bœuf,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2024/07/le-ministre-macaulay-annoncera-une-aide-financiere-pour-soutenir-la-competitivite-de-lindustrie-canadienne-du-buf.html,"The Honourable Lawrence MacAulay, Minister of Agriculture and Agri-Food, will announce funding to support the competitiveness of Canada’s beef sector and grow export opportunities around the world. He will be joined by representatives from the Canadian Cattle Association and Canada Beef.","L’honorable Lawrence MacAulay, ministre de l’Agriculture et de l’Agroalimentaire, annoncera une aide financière qui vise à soutenir la compétitivité de l’industrie canadienne du bœuf et à accroître les possibilités d’exportation partout dans le monde. Il sera accompagné de représentants de l’Association canadienne des bovins et de Bœuf canadien.",,,"general public, media, rural community","communauté rurale, grand public, médias",media advisories,avis aux médias,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,"Alberta, Canada, Prairies","Alberta, Canada, Prairies",Hon. Lawrence MacAulay,L'hon. Lawrence MacAulay,Business and industry,Entreprises et industrie,Agriculture,Agriculture
2024-07-05 13:00:48,2024-07-05 13:00:48,Minister Sean Fraser to make an announcement regarding No. 2 Construction Battalion,https://www.canada.ca/en/veterans-affairs-canada/news/2024/07/minister-sean-fraser-to-make-an-announcement-regarding-no-2-construction-battalion.html,Le ministre Sean Fraser fera une annonce concernant le 2e Bataillon de construction,https://www.canada.ca/fr/anciens-combattants-canada/nouvelles/2024/07/le-ministre-sean-fraser-fera-une-annonce-concernant-le-2e-bataillon-de-construction.html,"The Honourable Sean Fraser, Minister of Housing, Infrastructure and Communities, on behalf of the Honourable Ginette Petitpas Taylor, Minister of Veterans Affairs and Associate Minister of National Defence, will attend the Annual No. 2 Construction Battalion Remembrance Ceremony and Honour Parade, where he will make a funding announcement honouring the Battalion. ","L’honorable Sean Fraser, ministre du Logement, de l’Infrastructure et des Collectivités, au nom de l’honorable Ginette Petitpas Taylor, ministre des Anciens Combattants et ministre associée de la Défense nationale, assistera à la cérémonie annuelle de commémoration et au défilé d’honneur du 2e Bataillon de construction, où il annoncera un financement pour rendre hommage aux membres du bataillon. ",,,media,médias,media advisories,avis aux médias,Veterans Affairs Canada,Anciens Combattants Canada,"Atlantic, Canada, Nova Scotia","Atlantique, Canada, Nouvelle-Écosse","Hon. Ginette Petitpas Taylor, Hon. Sean Fraser","L'hon. Ginette Petitpas Taylor, L'hon. Sean Fraser","Culture, history and sport, Events, celebrations and commemorations","Culture, histoire et sport, Événements, célébrations et commémorations","Commemoration, History and Archaeology, Military, Veterans","Ancien combattant, Commémoration, Histoire et archéologie, Histoire et science militaire"
