PUBDATE,TITLE_TEXT_EN,TITLE_URL_EN,TITLE_TEXT_FR,TITLE_URL_FR,TEASER_EN,TEASER_FR,ADDITIONAL_TOPICS_EN,ADDITIONAL_TOPICS_FR,AUDIENCE_EN,AUDIENCE_FR,TYPE_EN,TYPE_FR,DEPT_EN,DEPT_FR,LOCATION_EN,LOCATION_FR,MINISTER_EN,MINISTER_FR,TOPIC_EN,TOPIC_FR,SUBJECT_EN,SUBJECT_FR
2024-08-28 14:14:35,Seizure of contraband at Joyceville Institution,https://www.canada.ca/en/correctional-service/news/2024/08/seizure-of-contraband-at-joyceville-institution.html,Saisie d’objets interdits à l’Établissement de Joyceville,https://www.canada.ca/fr/service-correctionnel/nouvelles/2024/08/saisie-dobjets-interdits-a-letablissement-de-joyceville.html,"On August 26, 2024, as a result of the vigilance of staff members, a package containing contraband was seized at Joyceville Institution, a multi-level security federal institution. ","Le 26 août 2024, grâce à la vigilance du personnel, un colis contenant des objets interdits a été saisi à l'Établissement de Joyceville, un établissement fédéral à niveaux multiples de sécurité.",,,"general public, media","grand public, médias",news releases,communiqués de presse,Correctional Service Canada,Service correctionnel Canada,"Canada, Ontario","Canada, Ontario",,,"Correctional facilities and security, Corrections, Policing, justice and emergencies","Installations et sécurité, Services correctionnels, Services de police, justice et urgences","Health and Safety, Public safety, Safety","Santé et sécurité, Sécurité, Sécurité publique"
2024-08-28 14:00:50,Government of Canada invests in community projects to advance health equity,https://www.canada.ca/en/public-health/news/2024/08/government-of-canada-invests-in-community-projects-to-advance-health-equity.html,Le gouvernement du Canada investit dans des projets communautaires visant à faire progresser l’équité en matière de santé,https://www.canada.ca/fr/sante-publique/nouvelles/2024/08/le-gouvernement-du-canada-investit-dans-des-projets-communautaires-visant-a-faire-progresser-lequite-en-matiere-de-sante.html,"The Honourable Mark Holland, Minister of Health, announced an investment of over $3.2 million through the Intersectoral Action Fund (ISAF) for 16 additional projects (link to backgrounder) based in British Columbia, Alberta, Saskatchewan, Ontario, Quebec, New Brunswick and Nova Scotia. These projects aim to improve health conditions and the systems and structures that shape them, helping everyone in Canada reach their full health potential.","L’honorable Mark Holland, ministre de la Santé, a annoncé un investissement de plus de 3,2 millions de dollars dans le cadre du Fonds d’action intersectorielle (le Fonds) pour soutenir 16 projets supplémentaires (lien vers le document d’information) en Colombie-Britannique, en Alberta, en Saskatchewan, en Ontario, au Québec, au Nouveau-Brunswick et en Nouvelle-Écosse. Ces projets visent à améliorer les conditions sanitaires ainsi que les systèmes et les structures qui les façonnent, ce qui aidera les personnes au Canada à atteindre un état de santé optimal.",,,general public,grand public,news releases,communiqués de presse,Public Health Agency of Canada,Agence de la santé publique du Canada,Canada,Canada,"Hon. Mark Holland, Hon. Ya’ara Saks","L'hon. Mark Holland, L'hon. Ya’ara Saks","Funding, Health, Health system and services","Financement, Santé, Système et services de santé","Health and Safety, Health impact","Impact sur la santé, Santé et sécurité"
2024-08-28 13:55:11,Government of Canada invests in community projects to reduce health inequities,https://www.canada.ca/en/public-health/news/2024/08/government-of-canada-invests-in-community-projects-to-reduce-health-inequities.html,Le gouvernement du Canada investit dans des projets communautaires visant à réduire les inégalités en matière de santé,https://www.canada.ca/fr/sante-publique/nouvelles/2024/08/le-gouvernement-du-canada-investit-dans-des-projets-communautaires-visant-a-reduire-les-inegalites-en-matiere-de-sante.html,"The Intersectoral Action Fund (ISAF) is the first Public Health Agency of Canada (PHAC) program explicitly dedicated to support collective action across sectors on the social determinants of health to reduce health inequities. This grant program seeks to strengthen capacity and build knowledge and tools to enable partners to work together across sectors to advance action on the social determinants of health. The program prioritizes funding upstream projects, or projects that are addressing the root causes of ill health and health inequities.","Le Fonds d’action intersectorielle (le Fonds) est le premier programme de l’Agence de la santé publique du Canada (ASPC) qui vise explicitement à soutenir l’action collective entre les secteurs sur les déterminants sociaux de la santé afin de réduire les inégalités en santé. Ce programme de subventions vise à renforcer les capacités, à enrichir les connaissances et à concevoir des outils afin de permettre aux partenaires de divers secteurs de travailler ensemble pour promouvoir l’action sur les déterminants sociaux de la santé. Le programme accorde la priorité au financement de projets en amont ou de projets qui s’attaquent aux causes profondes de la mauvaise santé et des inégalités en matière de santé.",,,general public,grand public,backgrounders,documents d'information,Public Health Agency of Canada,Agence de la santé publique du Canada,Canada,Canada,"Hon. Mark Holland, Hon. Ya’ara Saks","L'hon. Mark Holland, L'hon. Ya’ara Saks","Funding, Health, Health system and services","Financement, Santé, Système et services de santé","Health and Safety, Health impact","Impact sur la santé, Santé et sécurité"
2024-08-28 13:45:29,Invitation to media – Minister Soraya Martinez Ferrada to visit Laval,https://www.canada.ca/en/economic-development-quebec-regions/news/2024/08/invitation-to-media--minister-soraya-martinez-ferrada-to-visit-laval.html,Invitation aux médias – La ministre Soraya Martinez Ferrada en visite à Laval,https://www.canada.ca/fr/developpement-economique-regions-quebec/nouvelles/2024/08/invitation-aux-medias--la-ministre-soraya-martinez-ferrada-en-visite-a-laval.html,"The Honourable Soraya Martinez Ferrada, Member of Parliament for Hochelaga, Minister of Tourism and Minister responsible for CED, accompanied by her parliamentary secretary and the Member of Parliament for Vimy, Annie Koutrakis, will be in Laval this coming August 29. ","L’honorable Soraya Martinez Ferrada, députée d’Hochelaga, ministre du Tourisme et ministre responsable de DEC, accompagnée de sa secrétaire parlementaire et députée de Vimy, Annie Koutrakis, sera de passage à Laval le 29 août prochain. ","Business and industry, Getting business support and financing, Quebec business support, Regional business support, Starting a business","Entreprises et industrie, Lancer une entreprise, Obtenir du soutien et du financement pour votre entreprise, Organismes et services de soutien à l'entreprise, Soutien aux entreprises du Québec","business, general public, media","entreprises, grand public, médias",media advisories,avis aux médias,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,"Canada, Quebec, Québec","Canada, Québec",Hon. Soraya Martinez Ferrada,L'hon. Soraya Martinez Ferrada,Business and industry,Entreprises et industrie,"Development, Economic development, Economics and Industry, Processes, Regional development","Développement, Développement régional, Développement économique, Liens et fonctions, Économie et industrie"
2024-08-28 13:28:00,Government of Canada helps to reduce rubber industry’s environmental impact with support for American Biltrite,https://www.canada.ca/en/economic-development-quebec-regions/news/2024/08/government-of-canada-helps-to-reduce-rubber-industrys-environmental-impact-with-support-for-american-biltrite.html,Le gouvernement du Canada contribue à la réduction de l’impact environnemental de l’industrie du caoutchouc en soutenant American Biltrite,https://www.canada.ca/fr/developpement-economique-regions-quebec/nouvelles/2024/08/le-gouvernement-du-canada-contribue-a-la-reduction-de-limpact-environnemental-de-lindustrie-du-caoutchouc-en-soutenant-american-biltrite.html,"Sherbrooke business receives $98,000 in financial assistance from CED.",L’entreprise de Sherbrooke obtient une aide financière de 98 000 $ de DEC.,"Business and industry, Getting business support and financing, Quebec business support, Regional business support, Starting a business","Entreprises et industrie, Lancer une entreprise, Obtenir du soutien et du financement pour votre entreprise, Organismes et services de soutien à l'entreprise, Soutien aux entreprises du Québec","business, general public, media","entreprises, grand public, médias",news releases,communiqués de presse,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec,"Canada, Memphrémagog, Quebec","Canada, Memphrémagog, Québec",Hon. Soraya Martinez Ferrada,L'hon. Soraya Martinez Ferrada,Business and industry,Entreprises et industrie,"Development, Economic development, Economics and Industry, Processes, Regional development","Développement, Développement régional, Développement économique, Liens et fonctions, Économie et industrie"
2024-08-28 13:15:00,CBSA officers at Vancouver International Airport seize 25 kg of methamphetamine concealed in suitcases,https://www.canada.ca/en/border-services-agency/news/2024/08/cbsa-officers-at-vancouver-international-airport-seize-25-kg-of-methamphetamine-concealed-in-suitcases.html,Les agents de l'ASFC à l'aéroport international de Vancouver ont saisi 25 kg de méthamphétamine dissimulés dans des valises,https://www.canada.ca/fr/agence-services-frontaliers/nouvelles/2024/08/les-agents-de-lasfc-a-laeroport-international-de-vancouver-ont-saisi-25-kg-de-methamphetamine-dissimules-dans-des-valises.html,"On two separate occasions in July, CBSA officers at Vancouver International Airport seized a combined 24.84 kg of methamphetamine concealed in passenger suitcases destined for Sydney, Australia. At the time of this seizure, the street value of the methamphetamine was estimated at $1.25 million.","En deux occasions distinctes en juillet, les agents de l'ASFC à l'aéroport international de Vancouver ont saisi un total de 24,84 kg de méthamphétamine dissimulés dans des valises de passagers à destination de Sydney, en Australie. Au moment de ces saisies, la valeur marchande de la méthamphétamine était estimée à 1,25 M$.","National security and defence, Screening people at the border, Securing the border","Contrôle des personnes à la frontière, Sécuriser la frontière, Sécurité nationale et défense","general public, media","grand public, médias",news releases,communiqués de presse,Canada Border Services Agency,Agence des services frontaliers du Canada,"British Columbia, Canada","Canada, Colombie-Britannique",Hon. Dominic LeBlanc,L'hon. Dominic LeBlanc,"National security and defence, Securing the border","Sécuriser la frontière, Sécurité nationale et défense","Border crossing, Government and Politics","Gouvernement et vie politique, Passage des frontières"
2024-08-28 13:02:24,Government of Canada lists federal lands for housing and new tool for builders,https://www.canada.ca/en/public-services-procurement/news/2024/08/government-of-canada-lists-federal-lands-for-housing-and-new-tool-for-builders0.html,Le gouvernement du Canada répertorie les terrains fédéraux destinés pour le logement dans le cadre d’un nouvel outil pour les constructeurs,https://www.canada.ca/fr/services-publics-approvisionnement/nouvelles/2024/08/le-gouvernement-du-canada-repertorie-les-terrains-federaux-destines-pour-le-logement-dans-le-cadre-dun-nouvel-outil-pour-les-constructeurs0.html,"Canada is facing a housing crisis that is impacting lives and communities across the country. We need to build more homes, faster, to get Canadians into homes that meet their needs, at prices they can afford.","Le Canada fait face à une crise du logement qui a des répercussions sur la vie des gens et sur les collectivités partout au pays. Nous devons construire plus de logements, plus rapidement, pour permettre aux Canadiens d’accéder à des logements qui répondent à leurs besoins et qui sont abordables.",,,government,gouvernement,news releases,communiqués de presse,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"Alberta, Canada, Prairies","Alberta, Canada, Prairies","Hon. Jean-Yves Duclos, Hon. Sean Fraser","L'hon. Jean-Yves Duclos, L'hon. Sean Fraser",Business and industry,Entreprises et industrie,"Economics and Industry, Environmental management, Land management, Management","Gestion, Gestion de l'environnement, Gestion des terres, Économie et industrie"
2024-08-28 13:01:48,Full closure on Burlington Canal Lift Bridge,https://www.canada.ca/en/public-services-procurement/news/2024/08/full-closure-on-burlington-canal-lift-bridge.html,Fermeture complète du pont levant du canal de Burlington,https://www.canada.ca/fr/services-publics-approvisionnement/nouvelles/2024/08/fermeture-complete-du-pont-levant-du-canal-de-burlington.html,Public Services and Procurement Canada (PSPC) wishes to advise users of a full closure on the Burlington Canal Lift Bridge for continuing work on a major rehabilitation project,Services publics et Approvisionnement Canada (SPAC) souhaite informer les usagers de la fermeture complète du pont levant du canal de Burlington pour que les travaux liés à un grand projet de réhabilitation,,,general public,grand public,media advisories,avis aux médias,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"Canada, Hamilton, Ontario","Canada, Hamilton, Ontario",,,Transport and infrastructure,Transport et infrastructure,"Bridges, Transport","Pont, Transport"
2024-08-28 12:56:12,Minister Valdez to make an important announcement regarding Canada’s first-ever 2SLGBTQI+ Entrepreneurship Program,https://www.canada.ca/en/innovation-science-economic-development/news/2024/08/minister-valdez-to-make-an-important-announcement-regarding-canadas-first-ever-2slgbtqi-entrepreneurship-program.html,La ministre Valdez fera une annonce importante concernant le tout premier Programme pour l’entrepreneuriat des communautés 2ELGBTQI+ du Canada,https://www.canada.ca/fr/innovation-sciences-developpement-economique/nouvelles/2024/08/la-ministre-valdez-fera-une-annonce-importante-concernant-le-tout-premier-programme-pour-lentrepreneuriat-des-communautes-2elgbtqi-du-canada.html,"The Honourable Rechie Valdez, Minister of Small Business, with the Honourable Randy Boissonnault, Minister of Employment, Workforce Development and Official Languages, and Darrell Schuurman, Co-Founder and Chief Executive Officer of Canada's 2SLGBTQI+ Chamber of Commerce, will announce a major milestone in delivering the 2SLGBTQI+ Entrepreneurship Program. ","La ministre de la Petite Entreprise, l’honorable Rechie Valdez, annoncera, en compagnie du ministre de l’Emploi, du Développement de la main-d’œuvre et des Langues officielles, l’honorable Randy Boissonnault, et du cofondateur et président-directeur général de la Chambre de commerce 2ELGBTQI+ du Canada, Darrell Schuurman, l’atteinte d’un important jalon dans la prestation du Programme pour l’entrepreneuriat des communautés 2ELGBTQI+.",,,general public,grand public,media advisories,avis aux médias,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",Canada,Canada,"Hon. Randy Boissonnault, Hon. Rechie Valdez","L'hon. Randy Boissonnault, L'hon. Rechie Valdez",Business and industry,Entreprises et industrie,Economics and Industry,Économie et industrie
2024-08-28 12:34:17,Caldwell First Nation and the Federal Government partner to upgrade the Hillman Marsh Southern Dyke and protect nearby communities,https://www.canada.ca/en/housing-infrastructure-communities/news/2024/08/caldwell-first-nation-and-the-federal-government-partner-to-upgrade-the-hillman-marsh-southern-dyke-and-protect-nearby-communities.html,La Première Nation de Caldwell et le gouvernement fédéral font équipe pour améliorer la digue sud du marais Hillman et protéger les collectivités voisines,https://www.canada.ca/fr/logement-infrastructures-collectivites/nouvelles/2024/08/la-premiere-nation-de-caldwell-et-le-gouvernement-federal-font-equipe-pour-ameliorer-la-digue-sud-du-marais-hillman-et-proteger-les-collectivites-v.html,"Caldwell First Nation is upgrading the Hillman Marshland’s southern dyke to protect vulnerable lands, after an investment of over $15 million from the federal government.",La Première Nation de Caldwell améliorera la digue sud du marais Hillman afin de protéger des terres vulnérables grâce à un investissement de plus de 15 millions de dollars du gouvernement fédéral.,"Environment and natural resources, Weather, climate and hazards","Environnement et ressources naturelles, Météo, climat et catastrophes naturelles","general public, government, media","gouvernement, grand public, médias",news releases,communiqués de presse,"Housing, Infrastructure and Communities Canada","Logement, Infrastructures et Collectivités du Canada","Canada, Ontario","Canada, Ontario",Hon. Sean Fraser,L'hon. Sean Fraser,"Infrastructure, Transport and infrastructure","Infrastructures, Transport et infrastructure",Transport,Transport
2024-08-28 11:59:42,Replacement of the Alexandra Bridge,https://www.canada.ca/en/public-services-procurement/news/2024/08/replacement-of-the-alexandra-bridge.html,Remplacement du pont Alexandra,https://www.canada.ca/fr/services-publics-approvisionnement/nouvelles/2024/08/remplacement-du-pont-alexandra.html,"Today, officials from Public Services and Procurement Canada (PSPC) met with elected officials from the City of Gatineau to provide an update on the progress of the Alexandra Bridge replacement project and to clarify essential elements of the project, such as the reasoning behind the decision to replace the bridge, the conditions of the structure and the studies carried out. ","Aujourd’hui, des fonctionnaires de Services publics et Approvisionnement Canada (SPAC) ont rencontré des élus de la ville de Gatineau afin d’offrir une mise à jour sur l’avancement du projet de remplacement du pont Alexandra et de clarifier des éléments essentiels du projet, tels que le raisonnement derrière la décision de remplacer le pont, les conditions de la structure et les études réalisées. ",,,general public,grand public,statements,déclarations,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,"Canada, Gatineau, Quebec","Canada, Gatineau, Québec",,,Transport and infrastructure,Transport et infrastructure,"Bridges, Transport","Pont, Transport"
