"owner","package_id","dataset_name","resource_id","resource_name"
"esdc-edsc","01c0f9da-f52d-4436-9899-f375b905e481","Canadian Citizen and Permanent Resident Workforce Population by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","a2862214-c743-4a2c-a86c-27f6c7f4ac9c","Canadian Citizen and Permanent Resident Workforce Population by 3 Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups "
"pc","02410da8-98c7-40fd-8a5b-1bf7dc78eb9a","PAD vegetation change - Wood Buffalo National Park","7b7cc319-b883-4ad3-bb82-e40f1e9fe713","PAD vegetation change - Wood Buffalo"
"pc","02c92519-0338-4fef-a79e-37e197cbca4a","Downed Wood Debris - Thousand Islands","4607bfd8-b92e-4ccf-80b0-06ea0ca0ca02","Downed Woody Debris - Thousand Islands - Data"
"pc","03e38037-e88c-48c8-ad08-0afb73ae6290","Wildlife Mortality - Yoho","6663c40d-0ad8-4551-afa0-10b76add5c44","Wildlife Mortality Data - Yoho"
"pc","03e38037-e88c-48c8-ad08-0afb73ae6290","Wildlife Mortality - Yoho","d42d01ea-c4e6-4a8a-8ef8-b501d1d471dd","Wildlife Mortality Data - Yoho - data dictionary"
"pc","045239c3-f835-4be8-921a-f17caf264097","Snowshoe hare (pellet survey) - Wood Buffalo","e2263253-0c8d-49dc-88bf-1285e77a74dd","Snowshoe hare (pellet survey) - Wood Buffalo"
"pc","045239c3-f835-4be8-921a-f17caf264097","Snowshoe hare (pellet survey) - Wood Buffalo","13031421-f064-49ab-8561-af880f791ae8","Snowshoe hare (pellet survey) - Wood Buffalo - Data dictionary"
"hc-sc","0497695c-dd4c-42d6-8201-45d63509f416","Canadian Total Diet Study - Bisphenol A (BPA) 2008-2012, 2016","a75e3f05-5de9-4ae6-8da6-4d8d1b4bc75c","Total Diet Study Bisphenol A (BPA) results 2008-2012, 2016"
"hc-sc","0497695c-dd4c-42d6-8201-45d63509f416","Canadian Total Diet Study - Bisphenol A (BPA) 2008-2012, 2016","7c97da54-2e78-4609-9804-4f4eb11ab508","Total Diet Study Bisphenol A (BPA) results 2008-2012, 2016"
"pc","053f80c2-7ac9-4828-8405-28dae73eb24e","Colonial Waterbirds - Pukaskwa","d2e32a39-5852-4094-b033-79d71f3d9d4e","Colonial Waterbirds - Pukaskwa - Survey Data"
"pc","053f80c2-7ac9-4828-8405-28dae73eb24e","Colonial Waterbirds - Pukaskwa","74699df6-a204-4330-b6d2-2c63a7207e69","Colonial Waterbirds - Pukaskwa -  Data Dictionary"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","798a4a5f-f1ac-41a1-82d7-ef777f905bfe","Charities Businesses Directors/Officers"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","0b9b4b01-5cb6-4981-b007-ae88f48cc799","Financial data"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","4cf7d8fa-221a-4934-a423-82dbeac7462b","General information "
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","31a52caf-fa79-4ab3-bded-1ccc7b61c17f","Identification"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","b02f94b3-6555-4315-96ab-2658f61290c5","Charitable Programs"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","d205c11b-9803-4d3a-8ac8-ab7b648d145b","Non-Qualified donees"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","c603fe1f-cc4c-480e-b1cd-7fd949c42487","Qualified donees"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","3ef352d3-037d-48fb-98c0-f5e5b7ee5b89","Private/Public Foundations"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","489bf273-da0e-42fa-947c-3bc02dac28af","Activities outside Canada – Countries where program was carried"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","558ac0f1-8261-4eec-b1a0-92b596062464","Activities outside Canada – Details on financial"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","45b96a3b-afb8-46bc-8c66-4550208d8bd7","Activities outside Canada - Exported goods"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","f650c51e-8c88-4804-bda7-adce4bceba7c","Activities outside Canada - Financial resources used"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","aff519a3-a71e-4934-b052-dd29419be224","Compensation"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","9517a12c-51b8-46eb-94a6-75a2332ed997","Non-cash gifts (gifts in kind) received"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","03635bf0-2bb7-4b3e-a0ca-e56010c08712","Political Activities / Public Policy and Development Activities – Description"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","408a6861-26d0-4f75-bd99-27f9a40ccc52","Political Activities – Funding"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","3464b8f9-8b2d-4c8c-a7c6-af606312e12a","Political Activities – Resources"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","d98c8529-78a7-409b-b15f-296af52a43f1","Disbursement Quota"
"cra-arc","05b3abd0-e70f-4b3b-a9c5-acc436bd15b6","2023 List of charities","204222a0-eefc-4ccc-8c29-b6ecea0f6eb5","Charity Contact Web Addresses"
"fin","05fbc30f-1228-45a8-9423-ed5cd0f6be7f","Report on Federal Tax Expenditures - Concepts, Estimates and Evaluations 2024","f065f0eb-837b-44c9-b159-fd1da5262618","Data tables - metadata"
"fin","05fbc30f-1228-45a8-9423-ed5cd0f6be7f","Report on Federal Tax Expenditures - Concepts, Estimates and Evaluations 2024","0e8eb3c0-891f-4ea8-8184-6632205ac1a2","Data tables - metadata"
"fin","05fbc30f-1228-45a8-9423-ed5cd0f6be7f","Report on Federal Tax Expenditures - Concepts, Estimates and Evaluations 2024","dd65b4eb-b356-469b-a7be-312aa37fd970","Data tables"
"fin","05fbc30f-1228-45a8-9423-ed5cd0f6be7f","Report on Federal Tax Expenditures - Concepts, Estimates and Evaluations 2024","d0afb02d-9820-4f6c-b37f-b97348abee39","Data tables"
"cfia-acia","06033736-6095-4b85-8760-95dd8c209576","2018-2019 Lead Chromates in Spices Data","e21700b3-408d-4ce8-a82b-8bc3023e7242","2018-2019 Lead Chromates in Spices Data"
"pc","062bc4bf-604e-442c-917b-19513c9382b6","Brook trout - Kejimkujik","b2e5fc92-15e4-4c9e-9a01-55d1b03d8021","Brook Trout - Kejimkujik -  Creel Census Data - 1"
"pc","062bc4bf-604e-442c-917b-19513c9382b6","Brook trout - Kejimkujik","6f410372-44fb-4839-97c6-27e1fd6948ed","Brook Trout - Kejimkujik - Morphometric Data - 2"
"pc","062bc4bf-604e-442c-917b-19513c9382b6","Brook trout - Kejimkujik","0db5b9f5-34e6-4a13-9e91-ae780741fbb0","Brook Trout - Kejimkujik - Data Dictionary"
"hc-sc","062c769f-57d7-432e-9d33-1e333a87d6d0","Canadian Total Diet Study - Radionuclides 2000-2020","2066f835-1750-46a0-b151-5fed6845de60","Canadian Total Diet Study – Radionuclides 2000-2020"
"hc-sc","062c769f-57d7-432e-9d33-1e333a87d6d0","Canadian Total Diet Study - Radionuclides 2000-2020","44b87596-60c8-406b-9d4a-bc233d6ec252","Canadian Total Diet Study – Radionuclides 2000-2020"
"cra-arc","063f225c-4930-4337-a532-ef0e0ba0b30f","GST/HST Credit statistics by Federal Electoral District – 2019-2020 benefit year, including one-time GST/HST Credit payment","835e0a5b-501b-4732-b977-4281335e9bcf","GST/HST Credit statistics by Federal Electoral District – 2019-2020 benefit year, including one-time GST/HST Credit payment"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","8199abbe-e318-4869-8b11-fbfc4389129e","Table 1: Number of electors and polling stations"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","4acf5ea8-cf65-41c3-a585-d515c7cfdb1a","Table 3: Number of ballots cast and voter turnout"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","3fdbf3de-2b2e-4c44-b32e-98e71cae441b","Table 5: Distribution of valid votes by voting method"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","eeb33c04-8c31-4e4c-896a-754adf28244a","Table 6: Distribution of valid votes under Special Voting Rules"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","ee21862c-e718-43d2-bb0c-357b58aafed0","Table 7: Distribution of seats by political affiliation and sex"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","7961f6e7-be2b-48b9-b1c6-914a399990bd","Table 8: Number of valid votes by political affiliation"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","27e9bf7e-b67d-4757-bf63-80aa1c0bc3ee","Table 10: Number of candidates by percentage of valid votes received, by political affiliation"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","d9ff2144-4591-4ef5-b313-be5012eca3be","Table 11: Voting results by electoral district"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","8d6380a6-c1a3-4a19-b2ca-df0228ab4ddd","Table 12: List of candidates by electoral district and individual results"
"elections","065439a9-c194-4259-9c95-245a852be4a1","44th General Election: Official Voting Results","078f13c5-fdc6-4b12-ac88-e46f3f4c8a82","Table 13: List of returning officers"
"cfia-acia","0714a84f-b5cf-4d28-b3d2-fd71919b6ecd","CFIA-Undeclared Allergens and Gluten in Candies and Chocolate Products - 2022-2023","54d39bfc-2d1b-4415-b333-537c5f891159","CFIA-Undeclared Allergens and Gluten in Candies and Chocolate Products - 2022-2023"
"pc","071dce01-7b0c-4124-a1a3-08216e991d4a","Deer Browse - Summer Herbaceous - Thousand Islands","900533c6-7757-4dff-9f40-04bc5016145a","Deer Browse - Summer Herbaceous - Thousand Islands -Data"
"pc","072803b9-0374-44b0-b602-36fb19c52e1c","Forest vegetation community areal extent and distribution - Elk Island","53dfdb9a-1ff0-4edc-be5a-d9dbb39b4324","Forest vegetation community areal extent and distribution - Elk Island"
"pc","072803b9-0374-44b0-b602-36fb19c52e1c","Forest vegetation community areal extent and distribution - Elk Island","28341dca-d053-4aef-b624-aa3253fd3879","Forest vegetation community areal extent and distribution - Elk Island - Data dictionary"
"tbs-sct","0797e893-751e-4695-8229-a5066e4fe43c","Completed Access to Information Request Summaries dataset","19383ca2-b01a-487d-88f7-e1ffbc7d39c2","Completed Access to Information Request Summaries dataset"
"tbs-sct","0797e893-751e-4695-8229-a5066e4fe43c","Completed Access to Information Request Summaries dataset","5a1386a5-ba69-4725-8338-2f26004d7382","Completed Access to Information Request Summaries dataset (Nothing to report)"
"pc","07c0eed8-2b08-4c0b-b81c-8fed4a6e1d06","Forest Birds - Jasper","52da9d9f-7be4-4077-a4e3-e2fdfd876c4b","Forest Birds - Jasper"
"pc","07c0eed8-2b08-4c0b-b81c-8fed4a6e1d06","Forest Birds - Jasper","b1e78c43-5a15-4c12-aa36-191f958d6c66","Forest Birds - Jasper - Data Dictionary"
"pc","07c1c8d0-ad43-4411-bb79-278f9f50fb96","Stream Fish Occupancy - Banff","96860bd7-633b-4e6e-967a-c31341fd1785","Stream Fish Occupancy - Banff"
"pc","07c1c8d0-ad43-4411-bb79-278f9f50fb96","Stream Fish Occupancy - Banff","32018465-b944-4d5c-9b48-e9345dbbd926","Stream Fish Occupancy - Banff - Data Dictionary"
"esdc-edsc","07deee9b-4275-40ab-a0d3-9cd913feed47","Workforce Representation by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","38b2c87d-fe77-4400-8716-aea3643c54f2","Workforce Representation by 4 Designated Groups by Canada, Provinces, Territories, Census Metropolitan Areas (CMA), and Areas outside CMAs of Provinces"
"esdc-edsc","07deee9b-4275-40ab-a0d3-9cd913feed47","Workforce Representation by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","98a5777b-acc3-42a1-8a56-02394d151065","Workforce Representation by 4 Designated Groups by Canada, Provinces, Territories, Census Metropolitan Areas (CMA), and Areas outside CMAs of Provinces"
"esdc-edsc","07deee9b-4275-40ab-a0d3-9cd913feed47","Workforce Representation by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","2c3ea3ce-2fa5-4ec3-b29e-a663c63763fa","Workforce Representation by 3 Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups"
"esdc-edsc","07deee9b-4275-40ab-a0d3-9cd913feed47","Workforce Representation by Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups","c4edddd9-074c-4383-acb4-3818e730a37a","Workforce Representation by 3 Designated Groups, Employment Equity Occupational Groups and National Occupational Classification Unit Groups"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","f5b584ce-2086-4ad7-9161-871a4e29870a","01. Number of Students who Received Student Financial Assistance in Canada, including Grants, Loans and Interest Subsidy, by Type of Assistance (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","0535a873-616e-4ef7-8ad6-2662bb612eb1","02. Number of Students who Received Grants in Canada by Type (number of recipients) "
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","066e8f5e-1f21-45bf-997b-1b3012cbdb30","02. Number of Students who Received Grants in Canada by Type (number of recipients) "
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","ecb39c4c-05ec-4f5c-9a29-a76b5d47e9d9","03. Value of Grants in Canada by Type (millions of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","2d4c5bba-3365-4855-97b1-65f22463700a","03. Value of Grants in Canada by Type (millions of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","9d90fcd1-cb1e-4d0a-9a59-294041a59ba2","04. Number of Students who Received Canada Student Grants and/or Canada Student Loans in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","2bdb2408-8224-4b20-9da1-8c5c204cc813","04. Number of Students who Received Canada Student Grants and/or Canada Student Loans in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","aa7f246b-9bc6-47a7-bbcf-ba0830796ca3","05. Number of Students who Received Canada Student Grants in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","13e8d7c2-b303-41da-9c5e-7d78ddfe3843","05. Number of Students who Received Canada Student Grants in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","c8d23160-2509-4acd-a2e1-6c54ed07912d","06. Number of Students who Received Canada Student Loans in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","7b7c8989-6c8d-4125-8fad-e909f2634b7b","06. Number of Students who Received Canada Student Loans in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","8112c664-3958-4e87-819f-f8018f2cc856","07. Average Loan Balance at Time of Leaving School for Full-Time Students in Canada by Gender, Study Level and Institution Type (dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","0c4e858f-2edf-4bb3-8e7b-654981f401d4","07. Average Loan Balance at Time of Leaving School for Full-Time Students in Canada by Gender, Study Level and Institution Type (dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","1f4d092a-88f4-4dfd-b047-457886edfaa0","08. Distribution of Loan Balance at Time of Leaving School for Full-Time Students in Canada by Debt Level (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","29a3b1bd-f8f0-4260-aefd-82314ff1317f","08. Distribution of Loan Balance at Time of Leaving School for Full-Time Students in Canada by Debt Level (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","4a73cec1-3f59-44df-a3b5-3832365c719e","09. Number of RAP Recipients in Canada by RAP Stage and Payment Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","aeacc590-0a12-46f0-962d-8a976f782f9b","09. Number of RAP Recipients in Canada by RAP Stage and Payment Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","fa008f14-2c45-4613-b645-b1c770f7579e","10. Number of Students Benefiting from RAP in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","8290a7f7-0912-48e7-90ad-8926018828c6","10. Number of Students Benefiting from RAP in Canada by Gender, Age Group, Study Level and Institution Type (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","880d2d90-4b10-4cac-bb44-5d60a3bbc7d3","11. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Profession and Fiscal Year (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","ab645281-8a65-4df5-bbbe-b74776217b64","11. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Profession and Fiscal Year (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","694af616-f6df-41f7-8e73-2085fb04ac64","12. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Profession and Fiscal Year (thousands of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","a5e2d86a-011b-4556-8143-a87ce4d9ab90","12. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Profession and Fiscal Year (thousands of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","65a05349-17cc-4b6f-90a6-2353be125480","13. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Place of Work and Fiscal Year (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","6251bd9c-99db-4690-a762-e9977992dfef","13. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Place of Work and Fiscal Year (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","0011fa66-05f8-47bf-b52b-27d38b6033b5","14. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Place of Work and Fiscal Year (thousands of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","9c259288-7aff-4b00-89c6-c42768f38ea4","14. Canada Student Loan Forgiveness for Family Doctors and Nurses in Canada by Place of Work and Fiscal Year (thousands of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","6d5b5430-b4ba-437f-8917-9f7efb09d1ce","15. Severe Permanent Disability Benefit in Canada"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","d9b064ec-5195-40c4-a87a-b5129196d985","15. Severe Permanent Disability Benefit in Canada"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","decf8349-c470-4291-8f75-faca24e86952","16. Three-Year Default Rates for Direct Loans in Canada by Gender, Study Level and Institution Type (percent) "
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","b3fa1893-0860-411f-8a4b-bf9ffc3fed3e","16. Three-Year Default Rates for Direct Loans in Canada by Gender, Study Level and Institution Type (percent) "
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","e7d181c3-fdb5-4786-a9f0-2b73dff89631","17. Overall Portfolio in Canada by Loan Regime at the end of Fiscal Year (millions of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","a3e3f4e5-4290-447a-a6e4-14460ad0d586","18. Direct Loan Portfolio in Canada by Loan Status at the end of Academic Year (number of borrowers)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","1047b941-09f7-46be-9f88-d20375851439","18. Direct Loan Portfolio in Canada by Loan Status at the end of Academic Year (number of borrowers)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","41398f02-c287-4d36-8871-d29c5eac6a55","19. Value of the Direct Loan Portfolio in Canada by Loan Status at the end of Academic Year (millions of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","97b79b74-cc2f-46dd-9986-80fcc9414ac4","19. Value of the Direct Loan Portfolio in Canada by Loan Status at the end of Academic Year (millions of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","9cafb163-3c26-4325-bd70-e7608ae73878","20. Number of Students who Received Student Financial Assistance, Including Grants, Loans and Interest Subsidy, by Province and Territory (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","a6ba857f-3157-4649-a3a2-34ad083867d6","20. Number of Students who Received Student Financial Assistance, Including Grants, Loans and Interest Subsidy, by Province and Territory (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","ef329cfc-bc41-49f0-86dd-453d22d277d6","21. Number of Full- and Part-Time Students who Received Canada Student Grants and/or Canada Student Loans by Province and Territory (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","355e39ac-b841-4781-bd03-d37f6dc186dd","21. Number of Full- and Part-Time Students who Received Canada Student Grants and/or Canada Student Loans by Province and Territory (number of recipients)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","280862eb-14fe-45a4-9ec6-f9eb4e6575a0","22. Value of Canada Student Grants and/or Canada Student Loans for Full- and Part-Time Students by Province and Territory (millions of dollars)"
"esdc-edsc","0840231b-5bbf-447f-81ce-3ec0673aefc4","Student Financial Assistance Data for the Canada Student Financial Assistance Program","3e96cc0a-eb72-4676-9983-cf0f75710ef7","22. Value of Canada Student Grants and/or Canada Student Loans for Full- and Part-Time Students by Province and Territory (millions of dollars)"
